storyid,sentence1,sentence2,sentence3,sentence4,sentence5,label
b929f263-1dcd-4a0b-b267-5d5ff2fe65bb-c,"My friends all love to go to the club to dance. —— HasPrerequisite: go to club, go there, go —— Causes: they meet person there, they meet person, fun.","They think it's a lot of fun and always invite. —— HasPrerequisite: play game, go to movie, go to beach —— Causes: fun, have fun, happiness.","I finally decided to tag along last Saturday. —— HasPrerequisite: go to church, go on date, get up —— Causes: today be sunday, sunday be sunday, today be saturday.","I danced terribly and broke a friend's toe. —— HasPrerequisite: dance very well, dance well, practice dance —— Causes: my shoe to fall off, my foot to hurt, my foot hurt.","My friends decided to keep inviting me out as I am so much fun. —— HasPrerequisite: go to church, go to mall, go to bar —— Causes: me to feel good, me to be sad, me to be angry.",0
b929f263-1dcd-4a0b-b267-5d5ff2fe65bb-c,"My friends all love to go to the club to dance. —— HasPrerequisite: go to club, go there, go —— Causes: they meet person there, they meet person, fun.","They think it's a lot of fun and always invite. —— HasPrerequisite: play game, go to movie, go to beach —— Causes: fun, have fun, happiness.","I finally decided to tag along last Saturday. —— HasPrerequisite: go to church, go on date, get up —— Causes: today be sunday, sunday be sunday, today be saturday.","I danced terribly and broke a friend's toe. —— HasPrerequisite: dance very well, dance well, practice dance —— Causes: my shoe to fall off, my foot to hurt, my foot hurt.","My friends decided to keep inviting me out as I am so much fun. —— HasPrerequisite: go to church, go to mall, go to bar —— Causes: me to feel good, me to be sad, me to be angry.",1
4745d627-be9b-45f2-ad92-99c82cc83f85-c,"Avery was married with children. —— HasPrerequisite: marry couple, get marry, marry —— Causes: happy family, pregnancy, child.","She was tired of her boring life. —— HasPrerequisite: go to bed, go to sleep, read book —— Causes: boredom, death, no life.","One day, she decided to meet up with an old boyfriend from college. —— HasPrerequisite: study hard, study, get degree —— Causes: get bore, you to be bore, you to be more intelligent.","She made poor decisions that night and was unfaithful to her husband. —— HasPrerequisite: go to bed, go to sleep, sex —— Causes: poor night sleep, poor sleep, bad night sleep.","Avery thought her children would be happy with her decision. —— HasPrerequisite: make decision, think, decision —— Causes: change, decision, unhappiness.",0
4745d627-be9b-45f2-ad92-99c82cc83f85-c,"Avery was married with children. —— HasPrerequisite: marry couple, get marry, marry —— Causes: happy family, pregnancy, child.","She was tired of her boring life. —— HasPrerequisite: go to bed, go to sleep, read book —— Causes: boredom, death, no life.","One day, she decided to meet up with an old boyfriend from college. —— HasPrerequisite: study hard, study, get degree —— Causes: get bore, you to be bore, you to be more intelligent.","She made poor decisions that night and was unfaithful to her husband. —— HasPrerequisite: go to bed, go to sleep, sex —— Causes: poor night sleep, poor sleep, bad night sleep.","Avery thought her children would be happy with her decision. —— HasPrerequisite: make decision, think, decision —— Causes: change, decision, unhappiness.",1
2f74e81d-957b-4541-9e66-59e5eaa6aef1-c,"John was writing lyrics for his new album. —— HasPrerequisite: use your finger, use computer, get your guitar —— Causes: fame, new album, happiness.","He started experiencing writer's block. —— HasPrerequisite: sharpen knife, get pencil, use knife —— Causes: traffic jam, traffic light, you have to stop.","He tried to force himself to write but it wouldn't do anything. —— HasPrerequisite: try it, try experiment, be careful —— Causes: it break, it to fail, it be useless.","He took a walk, hung out with some friends, and looked at nature. —— HasPrerequisite: go outdoors, patience, water —— Causes: fun, pleasure, nature to smile.","He felt inspiration and then went back home to write. —— HasPrerequisite: inspiration, think, write idea —— Causes: inspiration, write poem, write idea.",1
2f74e81d-957b-4541-9e66-59e5eaa6aef1-c,"John was writing lyrics for his new album. —— HasPrerequisite: use your finger, use computer, get your guitar —— Causes: fame, new album, happiness.","He started experiencing writer's block. —— HasPrerequisite: sharpen knife, get pencil, use knife —— Causes: traffic jam, traffic light, you have to stop.","He tried to force himself to write but it wouldn't do anything. —— HasPrerequisite: try it, try experiment, be careful —— Causes: it break, it to fail, it be useless.","He took a walk, hung out with some friends, and looked at nature. —— HasPrerequisite: go outdoors, patience, water —— Causes: fun, pleasure, nature to smile.","He felt inspiration and then went back home to write. —— HasPrerequisite: inspiration, think, write idea —— Causes: inspiration, write poem, write idea.",0
794c804e-89ca-47b1-a583-7300e0509764-c,"The Mills next door had a new car. —— HasPrerequisite: get new car, have new car, have car —— Causes: new car, car accident, car.","The car was stolen during the weekend. —— HasPrerequisite: steal car, drive licence, steal it —— Causes: jail time, arrest, you get arrest.","They came to my house and asked me if I knew anything. —— HasPrerequisite: go to any place, go somewhere, go someplace —— Causes: me to make mistake, change my mind, change.","I told them I didn't, but for some reason they suspected me. —— HasPrerequisite: go to store, money, be patient —— Causes: me to be sad, me to feel sad, me to be happy.","They called the police to come to my house. —— HasPrerequisite: have key, porch, garage —— Causes: person live in house, person live there, person live in it.",1
794c804e-89ca-47b1-a583-7300e0509764-c,"The Mills next door had a new car. —— HasPrerequisite: get new car, have new car, have car —— Causes: new car, car accident, car.","The car was stolen during the weekend. —— HasPrerequisite: steal car, drive licence, steal it —— Causes: jail time, arrest, you get arrest.","They came to my house and asked me if I knew anything. —— HasPrerequisite: go to any place, go somewhere, go someplace —— Causes: me to make mistake, change my mind, change.","I told them I didn't, but for some reason they suspected me. —— HasPrerequisite: go to store, money, be patient —— Causes: me to be sad, me to feel sad, me to be happy.","They called the police to come to my house. —— HasPrerequisite: have key, porch, garage —— Causes: person live in house, person live there, person live in it.",0
61d1df75-b64c-485d-9599-0dd7f8809433-c,"Franny did not particularly like all of the immigration happening. —— HasPrerequisite: passport, passport and passport, visa —— Causes: discrimination, you get arrest, you will be arrest.","She thought immigrants were coming to cause social problems. —— HasPrerequisite: social isolation, discrimination, vote —— Causes: depression, poverty, social isolation.","Franny was upset when an immigrant moved in next door. —— HasPrerequisite: open door, call neighbor, doorbell —— Causes: violence, noise, neighbor call.","The immigrant, Sal, was kind and became friends with Franny. —— HasPrerequisite: money, good attitude, good sense —— Causes: poverty, pollution, bad crop.","Franny ended up getting deported. —— HasPrerequisite: use knife, have finger, turn off light —— Causes: food to go bad, food to be eat, pain.",0
61d1df75-b64c-485d-9599-0dd7f8809433-c,"Franny did not particularly like all of the immigration happening. —— HasPrerequisite: passport, passport and passport, visa —— Causes: discrimination, you get arrest, you will be arrest.","She thought immigrants were coming to cause social problems. —— HasPrerequisite: social isolation, discrimination, vote —— Causes: depression, poverty, social isolation.","Franny was upset when an immigrant moved in next door. —— HasPrerequisite: open door, call neighbor, doorbell —— Causes: violence, noise, neighbor call.","The immigrant, Sal, was kind and became friends with Franny. —— HasPrerequisite: money, good attitude, good sense —— Causes: poverty, pollution, bad crop.","Franny ended up getting deported. —— HasPrerequisite: use knife, have finger, turn off light —— Causes: food to go bad, food to be eat, pain.",1
