text,emotionlist
My math teacher was planning on giving an unannounced quiz one week.,"[u'anger', u'surprise', u'fear', u'anticipation', u'sadness']"
"Of course I didn't know that, so when it happened I was very nervous!","[u'surprise', u'fear', u'anticipation', u'sadness']"
I took my time on the quiz but it wasn't going that well for me.,"[u'anticipation', u'sadness', u'disgust', u'anger', u'surprise', u'fear']"
I finally completed it and turned it in while very worried.,"[u'surprise', u'fear', u'anticipation', u'sadness', u'disgust']"
I got the grade back a few days later and did about average!,"[u'anticipation', u'joy', u'trust', u'surprise']"
I went to the doctor.,"[u'anticipation', u'joy', u'trust', u'surprise']"
The doctor ordered a brain scan for migraines.,"[u'anticipation', u'surprise', u'fear', u'trust', u'sadness']"
No contrast was used.,[]
Luckily no tumors were found.,"[u'trust', u'joy', u'fear', u'anticipation', u'surprise']"
A stress free vacation ordered by the doctor.,"[u'anticipation', u'joy', u'trust', u'surprise']"
I discovered a woman will be running for president.,[]
I researched her background to see where she stands on the issues.,"[u'anticipation', u'trust', u'surprise']"
I rather liked her progressive agenda.,"[u'anticipation', u'joy', u'sadness', u'disgust', u'anger', u'surprise', u'trust']"
I decided I want to vote for a woman for US president.,"[u'anticipation', u'joy', u'trust', u'surprise']"
I registered to vote and I will vote for her in November.,"[u'anticipation', u'joy', u'trust']"
Patty had never put on makeup before and didn't know how.,"[u'anger', u'joy', u'fear', u'anticipation']"
She went to her sister's room and asked her to help her put it on.,"[u'anticipation', u'fear', u'trust', u'sadness', u'joy']"
Her sister spent several minutes explaining how to do so.,"[u'anticipation', u'joy', u'trust', u'surprise']"
The next day she tried and walked out of her room.,"[u'anticipation', u'joy', u'trust', u'surprise']"
She knew that she did it wrong because her sister laughed.,"[u'anticipation', u'sadness', u'disgust', u'anger', u'surprise', u'fear']"
Chris went to a restaurant in Mongolia.,"[u'anticipation', u'joy', u'trust', u'surprise']"
They had no vegetarian dishes.,"[u'anger', u'surprise', u'sadness', u'disgust']"
Chris was a vegetarian.,"[u'anticipation', u'sadness', u'disgust', u'anger', u'surprise', u'fear']"
He ordered just some grated carrot with vinegar.,"[u'anger', u'surprise', u'sadness', u'anticipation', u'disgust']"
"Everyone else was full from their meal, but Chris remained hungry.","[u'anticipation', u'joy', u'sadness', u'disgust', u'anger', u'surprise', u'trust']"
Bob got drunk at the Christmas party.,[]
He decided to drive home under the influence of alcohol.,"[u'anger', u'fear', u'anticipation', u'sadness', u'disgust']"
"Sure enough, he was stopped by the police.","[u'anticipation', u'sadness', u'disgust', u'anger', u'surprise', u'fear']"
They police arrested Bob and sent him to jail.,"[u'anticipation', u'sadness', u'disgust', u'anger', u'surprise', u'fear']"
Bob had to pay a fine and realize he should not drink and drive.,"[u'anticipation', u'sadness', u'disgust', u'anger', u'surprise', u'fear']"
Dave was addicted to coffee.,"[u'anticipation', u'sadness', u'disgust', u'anger', u'surprise', u'fear']"
And he drank 3 cups one morning.,"[u'joy', u'anticipation']"
"But soon after, she felt incredibly anxious and stressed.","[u'anger', u'surprise', u'fear', u'anticipation', u'sadness']"
He stayed in bed and skipped work.,"[u'anticipation', u'sadness', u'disgust', u'anger', u'surprise', u'fear']"
Dave switched to decaf coffee.,"[u'anticipation', u'joy', u'fear', u'trust', u'surprise']"
Tom had lost quite a bit of weight.,"[u'trust', u'joy', u'anticipation', u'surprise']"
He thought about what he could do with his ill-fitting clothes.,"[u'trust', u'joy', u'anticipation', u'surprise']"
Tom called a local donation center.,"[u'anticipation', u'joy', u'trust', u'surprise']"
They said they'd love to take his clothing.,"[u'anticipation', u'joy', u'trust', u'surprise']"
Tom donated all of his big-sized clothes to the donation center.,"[u'anticipation', u'joy', u'trust', u'surprise']"
Dan likes cookies.,"[u'joy', u'anticipation']"
He bakes chocolate chip cookies every weekend.,"[u'joy', u'anticipation']"
"One day, his friend came over and tried a cookie.","[u'anticipation', u'joy', u'sadness', u'disgust', u'surprise', u'fear', u'trust']"
He loved it and told Dan to market them!,"[u'anticipation', u'joy', u'trust', u'surprise']"
"Now, Dan owns a cookie bakery!","[u'anticipation', u'joy', u'trust', u'surprise']"
I visited the Wikipedia page for my company.,[]
I noticed a number of glaring factual errors.,"[u'anger', u'surprise', u'sadness', u'disgust']"
I made an editing account.,"[u'anticipation', u'joy', u'disgust', u'anger', u'surprise', u'trust']"
I studied Wikipedia's guidelines and then fixed the errors.,[]
Other editors reverted the changes as being unsourced.,"[u'anger', u'surprise', u'sadness', u'anticipation', u'disgust']"
Maria is pregnant.,"[u'anticipation', u'joy', u'fear', u'trust', u'surprise']"
She goes to the doctor for an ultrasound.,[]
Her husband is by her side.,"[u'anticipation', u'joy', u'trust']"
While the get a look at their baby for the first time.,"[u'anticipation', u'joy', u'trust', u'surprise']"
A surprise shows up there are two babies instead of one.,"[u'anticipation', u'joy', u'anger', u'surprise', u'fear', u'trust']"
"George was a boxer, who loved the sport.","[u'joy', u'anticipation']"
George worked very hard to be the best fighter in the world.,"[u'anticipation', u'joy', u'trust', u'surprise']"
