,text,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
0,My math teacher was planning on giving an unannounced quiz one week.,1,1,0,1,0,1,1,0
1,"Of course I didn't know that, so when it happened I was very nervous!",0,1,0,1,0,1,1,0
2,I took my time on the quiz but it wasn't going that well for me.,1,1,1,1,0,1,1,0
3,I finally completed it and turned it in while very worried.,0,1,1,1,0,1,1,0
4,I got the grade back a few days later and did about average!,0,1,0,0,1,0,1,1
5,I went to the doctor.,0,1,0,0,1,0,1,1
6,The doctor ordered a brain scan for migraines.,0,1,0,1,0,1,1,1
7,No contrast was used.,0,0,0,0,0,0,0,0
8,Luckily no tumors were found.,0,1,0,1,1,0,1,1
9,A stress free vacation ordered by the doctor.,0,1,0,0,1,0,1,1
10,I discovered a woman will be running for president.,0,0,0,0,0,0,0,0
11,I researched her background to see where she stands on the issues.,0,1,0,0,0,0,1,1
12,I rather liked her progressive agenda.,1,1,1,0,1,1,1,1
13,I decided I want to vote for a woman for US president.,0,1,0,0,1,0,1,1
14,I registered to vote and I will vote for her in November.,0,1,0,0,1,0,0,1
15,Patty had never put on makeup before and didn't know how.,1,1,0,1,1,0,0,0
16,She went to her sister's room and asked her to help her put it on.,0,1,0,1,1,1,0,1
17,Her sister spent several minutes explaining how to do so.,0,1,0,0,1,0,1,1
18,The next day she tried and walked out of her room.,0,1,0,0,1,0,1,1
19,She knew that she did it wrong because her sister laughed.,1,1,1,1,0,1,1,0
20,Chris went to a restaurant in Mongolia.,0,1,0,0,1,0,1,1
21,They had no vegetarian dishes.,1,0,1,0,0,1,1,0
22,Chris was a vegetarian.,1,1,1,1,0,1,1,0
23,He ordered just some grated carrot with vinegar.,1,1,1,0,0,1,1,0
24,"Everyone else was full from their meal, but Chris remained hungry.",1,1,1,0,1,1,1,1
25,Bob got drunk at the Christmas party.,0,0,0,0,0,0,0,0
26,He decided to drive home under the influence of alcohol.,1,1,1,1,0,1,0,0
27,"Sure enough, he was stopped by the police.",1,1,1,1,0,1,1,0
28,They police arrested Bob and sent him to jail.,1,1,1,1,0,1,1,0
29,Bob had to pay a fine and realize he should not drink and drive.,1,1,1,1,0,1,1,0
30,Dave was addicted to coffee.,1,1,1,1,0,1,1,0
31,And he drank 3 cups one morning.,0,1,0,0,1,0,0,0
32,"But soon after, she felt incredibly anxious and stressed.",1,1,0,1,0,1,1,0
33,He stayed in bed and skipped work.,1,1,1,1,0,1,1,0
34,Dave switched to decaf coffee.,0,1,0,1,1,0,1,1
35,Tom had lost quite a bit of weight.,0,1,0,0,1,0,1,1
36,He thought about what he could do with his ill-fitting clothes.,0,1,0,0,1,0,1,1
37,Tom called a local donation center.,0,1,0,0,1,0,1,1
38,They said they'd love to take his clothing.,0,1,0,0,1,0,1,1
39,Tom donated all of his big-sized clothes to the donation center.,0,1,0,0,1,0,1,1
40,Dan likes cookies.,0,1,0,0,1,0,0,0
41,He bakes chocolate chip cookies every weekend.,0,1,0,0,1,0,0,0
42,"One day, his friend came over and tried a cookie.",0,1,1,1,1,1,1,1
43,He loved it and told Dan to market them!,0,1,0,0,1,0,1,1
44,"Now, Dan owns a cookie bakery!",0,1,0,0,1,0,1,1
45,I visited the Wikipedia page for my company.,0,0,0,0,0,0,0,0
46,I noticed a number of glaring factual errors.,1,0,1,0,0,1,1,0
47,I made an editing account.,1,1,1,0,1,0,1,1
48,I studied Wikipedia's guidelines and then fixed the errors.,0,0,0,0,0,0,0,0
49,Other editors reverted the changes as being unsourced.,1,1,1,0,0,1,1,0
50,Maria is pregnant.,0,1,0,1,1,0,1,1
51,She goes to the doctor for an ultrasound.,0,0,0,0,0,0,0,0
52,Her husband is by her side.,0,1,0,0,1,0,0,1
53,While the get a look at their baby for the first time.,0,1,0,0,1,0,1,1
54,A surprise shows up there are two babies instead of one.,1,1,0,1,1,0,1,1
55,"George was a boxer, who loved the sport.",0,1,0,0,1,0,0,0
56,George worked very hard to be the best fighter in the world.,0,1,0,0,1,0,1,1
57,George believed he could one day win the championship.,0,1,0,0,1,1,1,1
58,"George fought very hard, until his day finally came.",0,1,0,0,1,0,1,1
59,"George won his first title fight by knockout, and was very happy.",0,0,0,0,1,0,1,0
60,I saved some money during the last week of my summer break.,0,0,0,0,0,0,0,0
61,I initially thought that it was more than enough to buy supplies.,0,1,0,0,1,0,0,1
62,"However, my thoughts changed during the first week of school.",0,1,0,1,0,1,1,0
63,My savings was $100 dollars.,0,1,0,0,1,0,1,0
64,"However, the price for my textbooks amounted to $400 dollars.",1,0,1,1,0,1,1,1
65,Chebon was an all state football player in high school.,0,1,0,0,1,0,0,1
66,He had high expectations to be great at football in college.,0,1,0,0,1,0,0,1
67,He played one play and threw a touchdown pass.,0,1,0,0,1,0,1,0
68,He injured his knee and never played again.,1,0,1,1,0,1,1,0
69,He is now a millionaire American Indian artist.,0,1,0,0,1,0,1,0
70,Tim was playing ball.,0,1,0,0,1,0,1,1
71,He threw the ball in a shady part of the field.,0,0,0,0,0,0,0,0
72,He was too scared to go.,1,1,1,1,0,1,1,0
73,His friends called him chicken.,1,1,0,1,0,1,0,0
74,Tim left the field and never went back.,1,0,1,1,1,1,1,0
75,My mom makes very strange food sometimes.,0,0,0,0,0,0,0,0
76,For dinner she made cupcakes with cat faces and licorice whiskers.,0,1,0,0,1,0,0,1
77,We had to eat our spaghetti as our dessert.,0,0,0,0,0,0,0,0
78,We had fun eating backwards.,0,1,0,0,1,1,1,1
79,My mom says we'll do a silly food day once a month.,1,1,1,1,1,1,0,1
80,Billy was climbing the tree when he heard a crack.,1,1,1,1,0,1,1,0
81,Suddenly the branch gave way beneath him.,0,1,0,1,0,0,1,0
82,"He tried to steady his grip, but it was too late and he fell down.",1,1,1,1,0,1,1,0
83,His mother quickly grabbed him and rushed him to the doctor.,1,1,0,1,0,1,1,1
84,Billy was given a cast and vowed to stop his tree climbing that day.,1,1,0,1,1,1,1,1
85,Manuel was having a difficult time paying his rent.,1,1,1,1,0,1,0,0
86,He knew that he would be evicted if he didn't figure something out.,1,1,1,1,0,1,1,0
87,He then remembered that his friend was looking for a house.,0,1,0,1,1,1,1,1
88,Manuel asked him to move in and be his roommate.,1,1,1,1,1,1,1,1
89,His friend agreed and Manuel kept his house.,1,1,1,1,1,0,0,1
90,Jerry had shut down a tree in his yard but he still had a stump.,1,1,1,0,0,0,0,0
91,He tried chopping at it but it still stuck up too far.,1,0,0,0,0,0,0,0
92,So then tried a chainsaw and it still wasn't ground level.,1,1,1,0,0,1,1,0
93,Finally he found a stump grinding company and it was gone forever.,0,1,0,0,1,0,1,1
94,Jerry will not waste time removing stumps from now on.,1,1,1,1,1,1,1,1
95,Susie wanted her belly pierced.,0,1,0,1,1,0,0,0
96,All her friends got it done.,0,1,0,0,0,1,1,1
97,So she went behind her mom's back to do it.,1,1,1,1,0,1,1,1
98,Her mom eventually found out.,1,1,1,1,1,1,1,1
99,Susie then was grounded.,1,0,1,1,1,1,1,0
100,Mike wanted to propose to Krissy.,0,1,0,1,1,0,0,1
101,He decided to take her out to a romantic dinner.,0,1,0,1,1,0,1,1
102,He ordered fancy champagne and a steak dinner.,0,1,0,0,1,0,1,1
103,At the end of the night he took out the ring and proposed.,0,1,0,1,1,0,1,1
104,Krissy said yes and now they are planning their wedding.,0,1,0,1,1,0,1,1
105,Michael wanted to have a daughter.,1,1,0,0,1,1,1,1
106,His wife wanted a son.,0,0,0,1,1,1,1,0
107,One day she found out she was pregnant.,0,1,0,0,1,0,1,1
108,Three months later she found out the sex of the baby.,0,1,0,0,1,0,1,1
109,Michael was having a daughter.,1,1,1,1,1,1,1,1
110,Sam was new at the office.,0,1,0,1,1,0,1,1
111,He was asked to fax some papers.,1,1,1,1,1,1,1,1
112,The papers never arrived.,0,0,0,0,0,0,0,0
113,When asked why Sam pointed to the shredder.,1,0,1,1,0,1,1,1
114,He accidentally put the papers there instead of the fax.,1,1,1,1,0,1,1,0
115,Laurie was unemployed and Jessie decided to help her out.,0,1,0,1,1,1,1,1
116,He gave her $1000 so she can catch up on her bills.,0,1,0,1,1,1,1,1
117,"The next day, Laurie came to Jessie's house again.",0,1,1,1,1,1,1,1
118,She wanted an extra $300 on a car payment.,1,1,1,1,1,1,1,1
119,"Since the payment was late, he declined giving her anything.",1,1,1,1,0,1,1,0
120,Tom was at his middle school dance.,0,1,1,1,1,0,1,1
121,He was dancing with friends.,0,1,0,0,1,0,0,1
122,The music then changed to a slow song.,0,1,0,1,1,1,1,1
123,A few friends partnered up and kept dancing.,0,1,0,0,1,0,1,1
124,Tom just went to get more punch.,0,1,1,1,1,1,1,1
125,Sarah and her dog were going for a walk.,0,1,0,0,1,0,1,1
126,They started out at a leisurely pace.,0,1,0,0,1,0,1,1
127,Sarah was looking away and did not see the bunny hop from the bush.,1,1,1,1,1,1,1,1
128,"The dog chased after the bunny, pulling Sarah along with the leash.",1,1,1,1,1,1,1,1
129,Sarah managed to control her dog before he pulled her into the bushes.,1,1,0,1,1,1,1,1
130,My 19 year old niece broke up with her first boyfriend last month.,0,0,0,0,0,0,0,0
131,He cheated on her while she was away in college.,1,0,1,1,0,1,1,0
132,"She gave me a necklace he bought her,",1,1,1,1,0,1,1,1
133,"I tried to sell it on eBay for her, but nobody bought it.",0,1,1,1,0,1,0,0
134,I will keep posting it until it sells.,0,1,0,1,1,1,1,1
135,I had a pet dog.,0,0,0,0,1,0,1,1
136,She was really old.,0,1,0,1,1,1,1,1
137,She started getting cancer on her face.,1,1,1,1,0,1,1,1
138,I had to put her down.,0,0,0,0,0,1,0,0
139,Now my dog is dead.,1,1,1,1,0,1,1,1
140,The teacher handed some papers out to her students.,0,1,0,1,0,0,0,0
141,It was a new schedule.,0,0,0,0,0,0,0,0
142,The kids wrote down the dates.,0,0,0,0,0,0,0,0
143,They needed to know when their exams were.,0,1,0,1,1,0,1,1
144,It would be a busy year!,0,1,1,0,1,1,1,1
145,Jason has a physics test tomorrow.,0,1,0,1,0,1,0,1
146,He has been studying all week.,0,1,0,1,1,0,0,1
147,He decided to pull an allnighter anyway.,0,1,0,1,0,1,0,1
148,"When Jason got to school, he was tired.",1,1,0,1,0,0,0,0
149,"Luckily, his teacher postponed their test.",1,1,1,1,1,1,1,1
150,"When they got home, it was time to open gifts.",0,0,0,0,0,0,0,0
151,It was the boy's 13th birthday.,0,1,0,0,1,0,1,1
152,They gave him a new tv for his room.,1,1,1,1,1,1,1,1
153,He said he couldn't wait to play games on it.,0,1,0,0,1,0,1,1
154,He was very happy with his gifts.,0,1,0,0,1,0,0,1
155,A man once sat down to write a story for his job.,0,1,0,0,1,0,0,0
156,He spent hours making the greatest story he ever imagined.,0,1,0,0,1,0,0,1
157,When he was finished he tried to save his great work.,0,1,0,1,1,1,1,1
158,"However, once he clicked the save icon the power surged.",1,1,1,1,0,1,1,0
159,The story was lost and he could not remember what he wrote.,1,0,1,0,0,1,1,0
160,Mary had been feeling depressed lately.,0,0,0,1,0,1,0,0
161,She decided to go to a psychiatrist.,0,1,0,1,0,1,1,1
162,Her psychiatrist diagnosed her with depression after seeing her.,0,1,1,1,1,1,0,1
163,He prescribed an antidepressant for her.,0,1,0,1,1,1,1,1
164,It eventually made her feel better again.,0,1,0,0,1,1,1,1
165,Terry was running out of food in his apartment.,1,1,1,1,0,1,0,0
166,All he had left was some stray vegetables and some pasta.,1,1,1,1,0,1,1,0
167,The choice of his meal was obvious.,0,1,0,1,1,0,0,0
168,He combined all of the remaining vegetables into a pasta sauce.,0,1,0,0,1,0,1,1
169,It turned out surprisingly tasty.,0,1,0,0,1,0,1,0
170,The man turned on his music.,0,1,0,0,1,0,1,1
171,He wanted to hear the base.,0,1,0,0,1,0,0,1
172,He turned up the volume.,0,1,0,0,1,0,0,1
173,His neighbors knocked on the wall.,1,1,1,1,1,1,1,0
174,He turned the volume up even more.,1,1,1,0,1,1,1,0
175,Jeff is playing rugby.,0,1,0,0,1,0,0,1
176,He is trying to make a score.,0,1,0,0,1,0,1,1
177,He gets hit hard from behind.,1,0,1,1,0,1,1,0
178,He falls to the ground in pain.,1,0,1,1,0,1,0,0
179,Jeff broke his ribs playing rugby.,1,0,1,1,0,1,1,0
180,Today at work I was thinking about a bonfire.,0,1,0,0,1,0,0,1
181,When I got home my husband approached me and hugged me.,0,1,0,1,1,1,1,1
182,He told me that he's been thinking about a bonfire all day.,0,1,0,0,1,0,1,1
183,We went to the store to get smore supplies.,0,1,0,0,1,0,1,1
184,When we got home we made a bonfire and made smores.,0,1,0,0,1,0,1,1
185,Billie was a girl with a boy's name.,0,0,0,0,0,0,0,0
186,She had always been made fun of because she had short hair.,1,1,1,1,0,1,1,0
187,Billie's dad made her get a haircut every month.,1,1,1,0,0,1,0,0
188,One day she told her dad about the bullying.,1,1,1,1,0,1,1,1
189,Billie's father felt so bad he never made her cut her hair again.,1,1,1,1,1,1,1,1
190,Kurt had to attend a late evening meeting at work.,1,1,1,0,0,1,1,0
191,"After dinner, he put on his suit and tie again.",1,1,1,1,0,1,1,1
192,He drove to work in the dark.,1,1,1,1,0,1,1,0
193,Kurt sat quietly in the meeting.,0,1,1,0,1,0,0,1
194,Kurt hoped the meeting would end soon so that he could go home to bed.,0,1,1,0,0,1,0,0
195,Kenny walked into his new classroom.,0,1,0,1,1,0,1,1
196,The teacher introduced him to the other classmates.,0,1,0,1,1,0,0,1
197,"However, one of the boys came up to Kenny.",0,1,0,1,0,0,1,0
198,Kenny got bit on the arm by him.,1,0,1,1,0,0,1,0
199,They fought with each other using their fists.,1,1,1,1,0,1,1,0
200,Reno was a stray dog.,0,1,0,1,1,1,0,1
201,He was in a shelter for many months.,0,1,0,1,0,1,0,0
202,He didn't think he would find a family.,1,1,1,1,0,1,0,0
203,One day a woman came to the shelter.,0,0,0,0,0,0,0,0
204,She adopted Reno.,0,1,0,0,1,1,1,1
205,Eli was fighting against the local school board.,1,1,1,1,1,1,0,1
206,He wanted his kids to be taught creationism in school.,1,1,1,1,0,1,0,0
207,The school board relented after much debate.,1,1,1,1,1,1,1,1
208,"The next day, his kids returned from school with good news.",0,1,0,0,1,0,1,1
209,They had a class teaching the Hindu creation story.,1,1,1,0,1,1,1,0
210,Kate wanted to throw her mom a surprise party.,0,1,0,0,1,0,1,1
211,Planning was going well.,0,1,0,0,1,0,1,1
212,But then Kate invited her little brother.,1,1,0,1,1,1,1,1
213,He told her mom about the party!,1,1,1,1,1,1,1,1
214,"Kate was so angry, she wanted to smack him.",1,1,1,1,1,1,1,1
215,Matt walked on to the bus looked for a seat.,1,1,1,1,1,1,1,1
216,He could not find any open seat so he stood.,1,1,0,0,1,1,1,1
217,A person offered his seat to Matt if he gave him $20.,1,1,1,1,1,1,1,1
218,Matt told the person that he was being unfair.,1,1,1,1,0,1,1,0
219,The person shrugged and ignored Matt for the rest of his ride.,1,0,1,1,0,1,1,0
220,My sister in law Vera bought a dryer ten years ago.,0,0,1,0,1,1,0,0
221,Her husband has yet to hook it up.,1,1,1,1,0,1,1,0
222,He is cheap and does not want to have to rewire the house.,1,1,1,1,0,1,1,1
223,Vera's therapist said hooking up the dryer would be therapeutic.,0,1,0,1,1,0,0,1
224,Vera's husband still is not hooking up the dryer.,1,1,1,1,0,1,1,0
225,Charles wanted to watch his favorite show on the television.,0,1,0,0,1,0,1,1
226,"When he sat down on the couch, he couldn't find the remote.",1,1,1,1,0,1,1,0
227,"Charles looked in the usual places the remote goes, but found nothing.",1,1,1,1,0,1,1,0
228,He eventually found the remote in between the couch cushions.,0,1,0,0,1,0,1,1
229,Charles turned on the television and watched the show on time.,0,1,0,0,1,0,1,1
230,Sara had taken a break from running.,0,1,1,1,1,1,1,0
231,She decided to start running again and enter a race.,0,1,0,0,1,0,0,1
232,"During her training, she started gaining her stamina back.",0,1,0,0,1,0,0,1
233,Her timing got better and better.,0,1,0,0,1,0,0,1
234,Sara was able to win her age division in her race.,0,1,0,0,1,0,1,1
235,I ended up pulling out the carpet cleaner.,1,1,1,1,0,1,1,1
236,I tried to find the instructions but I must have thrown them away.,1,0,1,1,0,0,0,0
237,I looked up the directions online.,1,1,1,1,1,1,1,1
238,I tried using dish soap instead of commercial cleaner.,0,1,0,0,1,0,1,1
239,It cleaned the carpets quite nicely.,0,1,0,0,1,0,1,1
240,Angus was an archer in a competition.,0,1,0,1,1,0,1,0
241,He was in second place going into the final round.,0,1,0,1,1,0,1,1
242,The bow he picked up to shoot with was from his father.,0,1,0,1,1,1,1,1
243,He made three shots and they all were bull's-eyes.,0,0,0,0,1,0,1,0
244,Angus took first place and the performance was never forgotten.,0,1,0,0,1,0,1,1
245,Andy felt sick while at work.,1,1,1,1,0,1,1,0
246,He started running fever.,1,1,1,1,0,1,1,0
247,He got queasy.,0,1,1,0,0,1,1,0
248,He went to the doctor.,0,0,1,0,0,0,0,0
249,His diagnosis was the stomach flu and no work for a week!,1,1,1,1,0,1,1,0
250,Brain is the varsity basketball coach for the boy's team.,0,1,0,0,1,0,0,1
251,He loves his job but the team isn't very good.,0,1,0,1,1,0,1,0
252,He gave them some drills to work on from his old college days.,0,1,0,1,1,1,0,1
253,He worked with them for half of the season on these drills.,0,1,0,0,1,0,0,1
254,By the second half of the season the team looked much better.,0,1,0,0,1,0,1,1
255,Jenny's mom rushed her out of the bed.,1,1,1,1,0,1,1,1
256,Jenny was told to brush her teeth or else she can't eat.,1,1,1,1,0,0,1,1
257,Jenny took out her toothpaste and toothbrush to brush them.,1,1,1,1,0,1,1,0
258,Her mom was yelling from the kitchen.,1,1,1,1,0,1,1,0
259,She said to hurry up since the breakfast was getting cold.,1,1,1,1,0,1,1,0
260,David was going to sleep.,0,1,0,0,1,0,0,0
261,There was a light breeze outside.,0,0,0,0,0,0,0,0
262,David decided to sleep with the windows open.,0,0,0,0,1,0,0,0
263,It began to rain.,0,0,0,0,1,0,1,1
264,"When David woke up, his floors were soaked.",1,0,1,0,0,1,1,0
265,John wanted to play something new and different.,0,1,0,0,1,0,0,1
266,A worker recommended a game to him.,0,1,0,0,1,0,1,1
267,John bought it and tried it out.,0,1,0,0,1,0,1,1
268,He played it for a few hours but never got into it.,0,0,0,0,0,1,1,0
269,He never took that employees advice again.,1,0,1,0,0,0,1,0
270,Sadie was at lunch with her friends.,0,1,0,0,1,0,0,1
271,"Suddenly, a boy approached their table.",0,1,0,1,1,0,1,0
272,He asked Sadie if she wanted to go out on a date.,0,1,0,1,1,0,1,1
273,Her friends giggled and waited for her response.,0,1,1,1,1,1,1,1
274,Sadie decided to say yes.,0,1,0,0,1,0,1,1
275,Lily's elderly aunt always wore a flowered bonnet on Easter.,0,1,0,0,1,0,1,1
276,Lily thought it would be funny to play a prank on her aunt.,1,1,1,1,1,1,1,1
277,She stuck wildflowers and weeds all over a plain sun hat.,1,1,1,0,1,1,1,1
278,Then she gave the hat to her aunt.,0,1,0,0,1,0,1,1
279,Happy tears welled in old eyes as Lily's aunt accepted the hat.,0,1,0,0,1,0,1,1
